frame_id,timestamp(ns),T_imu_wrt_vio_x(m),T_imu_wrt_vio_y(m),T_imu_wrt_vio_z(m),roll(rad),pitch(rad),yaw(rad)
81,96662853285,0.0052,0.0040,-0.0975,0.0506,0.0271,0.0336
82,96697981550,0.0056,0.0040,-0.0974,0.0514,0.0269,0.0336
83,96733076285,0.0053,0.0040,-0.0975,0.0513,0.0269,0.0336
84,96768181567,0.0056,0.0040,-0.0975,0.0519,0.0267,0.0336
85,96794521522,0.0054,0.0041,-0.0976,0.0518,0.0266,0.0335
86,96829633831,0.0055,0.0041,-0.0975,0.0523,0.0266,0.0335
87,96864743243,0.0057,0.0040,-0.0973,0.0528,0.0264,0.0335
88,96899858533,0.0055,0.0041,-0.0974,0.0527,0.0264,0.0335
89,96934988406,0.0053,0.0041,-0.0975,0.0526,0.0263,0.0334
90,96961344011,0.0054,0.0041,-0.0975,0.0530,0.0262,0.0334
91,96996469815,0.0052,0.0041,-0.0976,0.0531,0.0262,0.0333
92,97031571478,0.0053,0.0042,-0.0975,0.0536,0.0260,0.0333
93,97057906872,0.0052,0.0041,-0.0976,0.0536,0.0260,0.0332
94,97093074750,0.0052,0.0041,-0.0976,0.0538,0.0259,0.0333
95,97128208186,0.0054,0.0041,-0.0975,0.0544,0.0258,0.0333
96,97163326016,0.0053,0.0041,-0.0976,0.0543,0.0258,0.0332
97,97198439042,0.0054,0.0041,-0.0975,0.0547,0.0257,0.0332
98,97233540344,0.0052,0.0041,-0.0975,0.0548,0.0257,0.0332
99,97268650867,0.0049,0.0041,-0.0976,0.0547,0.0256,0.0331
100,97294990939,0.0049,0.0040,-0.0976,0.0550,0.0255,0.0330
101,97330104329,0.0048,0.0041,-0.0977,0.0550,0.0254,0.0330
102,97365247584,0.0050,0.0042,-0.0976,0.0555,0.0253,0.0331
103,97400354970,0.0050,0.0041,-0.0976,0.0557,0.0252,0.0331
104,97426706466,0.0048,0.0041,-0.0977,0.0557,0.0252,0.0331
105,97461866709,0.0048,0.0042,-0.0978,0.0558,0.0251,0.0330
106,97496976324,0.0047,0.0041,-0.0978,0.0559,0.0251,0.0330
107,97532077921,0.0050,0.0041,-0.0977,0.0564,0.0249,0.0329
108,97558399254,0.0048,0.0041,-0.0978,0.0563,0.0249,0.0329
109,97593557320,0.0047,0.0042,-0.0978,0.0564,0.0249,0.0329
110,97628704511,0.0048,0.0042,-0.0977,0.0567,0.0248,0.0329
111,97663802275,0.0051,0.0041,-0.0976,0.0570,0.0247,0.0329
112,97698896063,0.0050,0.0041,-0.0977,0.0570,0.0247,0.0329
113,97734003391,0.0047,0.0042,-0.0978,0.0569,0.0246,0.0328
114,97760340463,0.0050,0.0042,-0.0975,0.0572,0.0246,0.0328
115,97795482053,0.0048,0.0042,-0.0976,0.0572,0.0245,0.0328
116,97830592045,0.0052,0.0042,-0.0976,0.0575,0.0244,0.0328
117,97865691150,0.0054,0.0042,-0.0976,0.0577,0.0242,0.0328
118,97900840161,0.0052,0.0042,-0.0977,0.0576,0.0242,0.0328
119,97927179740,0.0051,0.0043,-0.0978,0.0576,0.0242,0.0328
120,97962309493,0.0052,0.0042,-0.0978,0.0577,0.0241,0.0328
121,97997432454,0.0050,0.0041,-0.0978,0.0576,0.0241,0.0328
122,98032547924,0.0051,0.0040,-0.0978,0.0577,0.0240,0.0329
123,98067712308,0.0049,0.0040,-0.0979,0.0576,0.0240,0.0328
124,98094062385,0.0051,0.0040,-0.0978,0.0577,0.0239,0.0329
125,98129173558,0.0049,0.0040,-0.0979,0.0576,0.0239,0.0328
126,98164285355,0.0051,0.0040,-0.0979,0.0578,0.0239,0.0329
127,98199417050,0.0049,0.0040,-0.0980,0.0578,0.0238,0.0329
128,98234544221,0.0050,0.0039,-0.0979,0.0579,0.0238,0.0329
129,98260887569,0.0048,0.0039,-0.0979,0.0579,0.0238,0.0329
130,98297020514,0.0050,0.0038,-0.0978,0.0581,0.0236,0.0329
131,98323362307,0.0049,0.0038,-0.0979,0.0581,0.0236,0.0329
132,98367327943,0.0050,0.0038,-0.0979,0.0583,0.0235,0.0329
133,98393754568,0.0048,0.0039,-0.0979,0.0582,0.0235,0.0328
134,98428848770,0.0048,0.0038,-0.0979,0.0583,0.0234,0.0329
135,98463964490,0.0048,0.0039,-0.0980,0.0584,0.0233,0.0329
136,98499076852,0.0050,0.0039,-0.0979,0.0585,0.0233,0.0329
137,98534269944,0.0048,0.0039,-0.0980,0.0585,0.0232,0.0328
138,98560656131,0.0051,0.0040,-0.0979,0.0586,0.0231,0.0327
139,98595749501,0.0050,0.0041,-0.0980,0.0586,0.0231,0.0327
140,98630839949,0.0052,0.0040,-0.0980,0.0587,0.0229,0.0327
141,98665933358,0.0050,0.0041,-0.0981,0.0586,0.0229,0.0327
142,98701014952,0.0052,0.0040,-0.0980,0.0586,0.0228,0.0327
143,98727327672,0.0051,0.0041,-0.0981,0.0586,0.0228,0.0327
144,98762419304,0.0052,0.0041,-0.0980,0.0586,0.0228,0.0327
145,98797513871,0.0050,0.0042,-0.0981,0.0586,0.0227,0.0327
146,98832631279,0.0052,0.0041,-0.0981,0.0586,0.0227,0.0327
147,98867782513,0.0050,0.0042,-0.0982,0.0586,0.0226,0.0326
148,98894091037,0.0051,0.0041,-0.0981,0.0586,0.0225,0.0327
149,98929191193,0.0050,0.0041,-0.0982,0.0586,0.0225,0.0326
150,98964306398,0.0053,0.0041,-0.0981,0.0587,0.0225,0.0327
151,98999440040,0.0054,0.0040,-0.0981,0.0587,0.0224,0.0328
152,99034529156,0.0053,0.0040,-0.0982,0.0586,0.0224,0.0328
153,99060868019,0.0051,0.0040,-0.0982,0.0586,0.0224,0.0328
154,99095969571,0.0052,0.0039,-0.0982,0.0586,0.0223,0.0328
155,99131064099,0.0053,0.0038,-0.0982,0.0586,0.0223,0.0329
156,99166159215,0.0051,0.0037,-0.0982,0.0586,0.0223,0.0329
157,99201280835,0.0049,0.0037,-0.0982,0.0585,0.0222,0.0328
158,99227591813,0.0050,0.0037,-0.0982,0.0586,0.0222,0.0328
159,99262682082,0.0051,0.0036,-0.0982,0.0586,0.0222,0.0328
160,99297788357,0.0049,0.0037,-0.0982,0.0586,0.0221,0.0328
161,99332964156,0.0047,0.0037,-0.0983,0.0586,0.0221,0.0328
162,99368063528,0.0048,0.0037,-0.0983,0.0586,0.0220,0.0328
163,99394395823,0.0047,0.0037,-0.0984,0.0586,0.0220,0.0328
164,99429497291,0.0049,0.0036,-0.0983,0.0587,0.0219,0.0328
165,99464722028,0.0047,0.0037,-0.0984,0.0587,0.0219,0.0327
166,99499817532,0.0047,0.0037,-0.0985,0.0588,0.0218,0.0327
167,99534927978,0.0047,0.0036,-0.0985,0.0589,0.0218,0.0327
168,99561238689,0.0047,0.0036,-0.0985,0.0589,0.0218,0.0327
169,99596334356,0.0047,0.0036,-0.0985,0.0590,0.0217,0.0327
170,99631436391,0.0046,0.0036,-0.0986,0.0589,0.0217,0.0327
171,99666532509,0.0046,0.0036,-0.0986,0.0590,0.0217,0.0327
172,99701628282,0.0044,0.0036,-0.0987,0.0589,0.0216,0.0326
173,99727965150,0.0047,0.0037,-0.0984,0.0591,0.0216,0.0327
174,99763057595,0.0046,0.0037,-0.0985,0.0591,0.0216,0.0327
175,99798171085,0.0046,0.0037,-0.0985,0.0592,0.0215,0.0327
176,99833276266,0.0045,0.0036,-0.0986,0.0593,0.0214,0.0326
177,99868420347,0.0043,0.0037,-0.0987,0.0592,0.0214,0.0325
178,99894745899,0.0044,0.0036,-0.0987,0.0593,0.0213,0.0326
179,99929864003,0.0043,0.0036,-0.0987,0.0593,0.0212,0.0325
180,99964975069,0.0043,0.0036,-0.0987,0.0594,0.0212,0.0326
181,100000072758,0.0045,0.0036,-0.0986,0.0596,0.0212,0.0326
182,100035172590,0.0043,0.0036,-0.0987,0.0596,0.0211,0.0326
183,100061504739,0.0045,0.0035,-0.0986,0.0597,0.0211,0.0326
184,100096649028,0.0044,0.0035,-0.0987,0.0597,0.0210,0.0326
185,100131774816,0.0045,0.0035,-0.0987,0.0598,0.0210,0.0327
186,100166901951,0.0044,0.0035,-0.0987,0.0598,0.0209,0.0326
187,100193255556,0.0043,0.0035,-0.0988,0.0598,0.0208,0.0326
188,100228393686,0.0045,0.0035,-0.0987,0.0599,0.0208,0.0326
189,100263519425,0.0045,0.0034,-0.0987,0.0600,0.0207,0.0326
190,100298628322,0.0045,0.0034,-0.0987,0.0600,0.0207,0.0326
191,100333736279,0.0046,0.0034,-0.0987,0.0600,0.0206,0.0326
192,100360064580,0.0045,0.0034,-0.0988,0.0600,0.0206,0.0326
193,100395296094,0.0043,0.0034,-0.0989,0.0599,0.0206,0.0326
194,100430441355,0.0045,0.0034,-0.0987,0.0601,0.0206,0.0326
195,100465567366,0.0045,0.0034,-0.0987,0.0601,0.0205,0.0325
196,100500674336,0.0044,0.0034,-0.0987,0.0601,0.0206,0.0325
197,100527020224,0.0042,0.0034,-0.0988,0.0600,0.0205,0.0325
198,100562129006,0.0040,0.0034,-0.0988,0.0599,0.0205,0.0325
199,100597238420,0.0041,0.0034,-0.0988,0.0601,0.0204,0.0325
200,100623565867,0.0043,0.0034,-0.0987,0.0602,0.0203,0.0326
201,100667514283,0.0043,0.0034,-0.0988,0.0603,0.0203,0.0325
202,100693836646,0.0042,0.0034,-0.0988,0.0603,0.0202,0.0325
203,100728942739,0.0039,0.0033,-0.0989,0.0602,0.0202,0.0324
204,100764038631,0.0043,0.0034,-0.0988,0.0605,0.0201,0.0324
205,100799145271,0.0045,0.0035,-0.0987,0.0606,0.0200,0.0325
206,100834242472,0.0044,0.0035,-0.0987,0.0606,0.0200,0.0324
207,100860569047,0.0042,0.0035,-0.0988,0.0606,0.0200,0.0324
208,100895685704,0.0044,0.0035,-0.0988,0.0606,0.0199,0.0323
209,100930812283,0.0046,0.0035,-0.0987,0.0607,0.0199,0.0323
210,100965923813,0.0044,0.0035,-0.0988,0.0607,0.0198,0.0324
211,101001047399,0.0043,0.0034,-0.0988,0.0608,0.0196,0.0345
212,101027442715,0.0048,0.0036,-0.0981,0.0609,0.0197,0.0363
213,101062624466,0.0049,0.0036,-0.0977,0.0610,0.0196,0.0383
214,101097729221,0.0047,0.0039,-0.0973,0.0610,0.0197,0.0396
215,101132889539,0.0051,0.0041,-0.0969,0.0610,0.0196,0.0399
216,101159232292,0.0050,0.0042,-0.0968,0.0610,0.0196,0.0402
217,101194463233,0.0049,0.0044,-0.0964,0.0610,0.0196,0.0403
218,101229584460,0.0053,0.0046,-0.0960,0.0609,0.0196,0.0404
219,101255905243,0.0053,0.0047,-0.0959,0.0609,0.0195,0.0404
220,101299922382,0.0056,0.0048,-0.0960,0.0610,0.0192,0.0405
221,101335010176,0.0055,0.0049,-0.0959,0.0609,0.0192,0.0405
222,101361328311,0.0060,0.0049,-0.0961,0.0611,0.0189,0.0405
223,101396552935,0.0061,0.0048,-0.0961,0.0610,0.0189,0.0406
224,101431633867,0.0059,0.0048,-0.0960,0.0608,0.0189,0.0406
225,101466730184,0.0058,0.0049,-0.0961,0.0608,0.0189,0.0406
